,rank dates,year,code,in/out,enter_date,exit_date,beta
0,2007-12-10,2007,600881.SH,1,2007-12-11,2008-01-02,1.24150533830102
1,2007-12-10,2007,600497.SH,1,2007-12-11,2008-01-02,2.207381705945928
2,2007-12-10,2007,600739.SH,1,2007-12-11,2008-01-02,1.4990251035726243
3,2007-12-10,2007,601168.SH,1,2007-12-11,2007-12-28,1.2448342468024156
4,2007-12-10,2007,601939.SH,1,2007-12-11,2008-01-02,0.8170424457902459
5,2007-12-10,2007,600037.SH,0,2007-12-11,2008-01-02,1.174623140695796
6,2007-12-10,2007,600583.SH,0,2007-12-11,2008-01-02,1.078865788292474
7,2007-12-10,2007,600688.SH,0,2007-12-27,2008-01-02,0.8474988334524408
8,2007-12-10,2007,600026.SH,0,2007-12-11,2008-01-02,1.1777738049105837
9,2008-06-04,2008,600029.SH,1,2008-06-05,2008-07-01,0.9973744689929176
10,2008-06-04,2008,601390.SH,1,2008-06-05,2008-07-01,0.757002704970632
11,2008-06-04,2008,601991.SH,1,2008-06-05,2008-07-01,0.6636991070853291
12,2008-06-04,2008,601601.SH,1,2008-06-05,2008-07-01,1.1670122586971472
13,2008-06-04,2008,601919.SH,1,2008-06-05,2008-07-01,1.082434670767188
14,2008-06-04,2008,600100.SH,0,2008-06-05,2008-07-01,0.8845370694000493
15,2008-06-04,2008,600832.SH,0,2008-06-05,2008-07-01,0.9269634616533124
16,2008-06-04,2008,601872.SH,0,2008-06-05,2008-07-01,0.9551810211727346
17,2008-06-04,2008,600309.SH,0,2008-06-05,2008-07-01,0.9881407259507664
18,2008-06-04,2008,600011.SH,0,2008-06-05,2008-07-01,0.7781202463093569
19,2008-12-15,2008,601169.SH,1,2008-12-16,2009-01-05,0.9971939328079852
20,2008-12-15,2008,600837.SH,1,2008-12-16,2009-01-05,1.4418212666547157
21,2008-12-15,2008,601899.SH,1,2008-12-16,2009-01-05,0.9448835056809164
22,2008-12-15,2008,601898.SH,1,2008-12-16,2009-01-05,1.2294167005818415
23,2008-12-15,2008,601186.SH,1,2008-12-16,2009-01-05,0.6945854928460425
24,2008-12-15,2008,600601.SH,0,2008-12-16,2009-01-05,1.1371968104067616
25,2008-12-15,2008,600811.SH,0,2008-12-16,2009-01-05,1.3758732024637097
26,2008-12-15,2008,600887.SH,0,2008-12-16,2009-01-05,0.737704399461343
27,2008-12-15,2008,600881.SH,0,2008-12-16,2009-01-05,1.3501454565124154
28,2008-12-15,2008,600717.SH,0,2008-12-16,2009-01-05,1.0806100220029444
29,2009-06-15,2009,600598.SH,1,2009-06-16,2009-07-01,0.6716295944935539
30,2009-06-15,2009,600550.SH,1,2009-06-16,2009-07-01,0.7747024411777995
31,2009-06-15,2009,601958.SH,1,2009-06-16,2009-07-01,1.4559550279830469
32,2009-06-15,2009,601766.SH,1,2009-06-16,2009-07-01,0.7691871973558065
33,2009-06-15,2009,601727.SH,1,2009-06-16,2009-07-01,0.9034484735493052
34,2009-06-15,2009,600497.SH,0,2009-06-16,2009-07-01,1.4617581252495118
35,2009-06-15,2009,600001.SH,0,2009-06-16,2009-07-01,1.1937833245583136
36,2009-06-15,2009,601588.SH,0,2009-06-16,2009-07-01,1.255685198213167
37,2009-06-15,2009,600010.SH,0,2009-06-16,2009-07-01,1.0222542470432971
38,2009-06-15,2009,601991.SH,0,2009-06-16,2009-07-01,1.0551847009114874
39,2009-12-14,2009,600383.SH,1,2009-12-15,2010-01-04,0.8905987464038017
40,2009-12-14,2009,600089.SH,1,2009-12-15,2010-01-04,0.5580710226057962
41,2009-12-14,2009,600489.SH,1,2009-12-15,2010-01-04,0.7354181141551587
42,2009-12-14,2009,600547.SH,1,2009-12-15,2010-01-04,0.9023608812360424
43,2009-12-14,2009,601668.SH,1,2009-12-15,2010-01-04,0.5553443381788172
44,2009-12-14,2009,600177.SH,0,2009-12-15,2010-01-04,0.8980209847517653
45,2009-12-14,2009,600642.SH,0,2009-12-15,2010-01-04,0.7056195367406217
46,2009-12-14,2009,601333.SH,0,2009-12-15,2010-01-04,0.6212257914553867
47,2009-12-14,2009,600009.SH,0,2009-12-15,2010-01-04,0.5772592840112042
48,2009-12-14,2009,601998.SH,0,2009-12-15,2010-01-04,1.3192754709763974
49,2010-06-17,2010,601699.SH,1,2010-06-18,2010-07-01,1.5235568308320977
50,2010-06-17,2010,601788.SH,1,2010-06-18,2010-07-01,1.3969134862076629
51,2010-06-17,2010,601618.SH,1,2010-06-18,2010-07-01,0.6897592630020017
52,2010-06-17,2010,601998.SH,1,2010-06-18,2010-07-01,1.101892117318051
53,2010-06-17,2010,600598.SH,0,2010-06-18,2010-07-01,0.8216394112933212
54,2010-06-17,2010,600320.SH,0,2010-06-18,2010-07-01,1.1112198187038944
55,2010-06-17,2010,600029.SH,0,2010-06-18,2010-07-01,1.309094875018193
56,2010-06-17,2010,600018.SH,0,2010-06-18,2010-07-01,0.6467491943970025
57,2010-07-16,2010,601288.SH,1,2010-07-19,2010-07-29,0.5901782033179913
58,2010-07-16,2010,601727.SH,0,2010-07-19,2010-07-29,0.9925327500150404
59,2010-12-13,2010,600111.SH,1,2010-12-14,2011-01-04,1.2476458299439226
60,2010-12-13,2010,600348.SH,1,2010-12-14,2011-01-04,1.6871797273161626
61,2010-12-13,2010,601688.SH,1,2010-12-14,2011-01-04,1.429341326460006
62,2010-12-13,2010,600031.SH,1,2010-12-14,2011-01-04,1.0292836406495836
63,2010-12-13,2010,601818.SH,1,2010-12-14,2011-01-04,1.1623326972175632
64,2010-12-13,2010,600550.SH,0,2010-12-14,2011-01-04,0.8576245390080675
65,2010-12-13,2010,600739.SH,0,2010-12-14,2011-01-04,1.7046393370293496
66,2010-12-13,2010,600795.SH,0,2010-12-14,2011-01-04,0.4900388276216816
67,2010-12-13,2010,601186.SH,0,2010-12-14,2011-01-04,0.5876196209034507
68,2010-12-13,2010,601766.SH,0,2010-12-14,2011-01-04,0.7730645517294641
69,2011-06-13,2011,601118.SH,1,2011-06-14,2011-07-01,1.3870067490354014
70,2011-06-13,2011,601766.SH,1,2011-06-15,2011-07-01,1.1317165700293217
71,2011-06-13,2011,601989.SH,1,2011-06-14,2011-07-01,1.0734506689152192
72,2011-06-13,2011,600585.SH,1,2011-06-14,2011-07-01,1.7589288674089187
73,2011-06-13,2011,600188.SH,1,2011-06-14,2011-07-01,1.308422389816018
74,2011-06-13,2011,600005.SH,0,2011-06-14,2011-07-01,0.8257655636983434
75,2011-06-13,2011,601788.SH,0,2011-06-14,2011-07-01,1.30754715752572
76,2011-06-13,2011,601618.SH,0,2011-06-14,2011-07-01,0.89583923013771
77,2011-06-13,2011,601998.SH,0,2011-06-14,2011-06-28,0.9741914281257302
78,2011-06-13,2011,601988.SH,0,2011-06-14,2011-07-01,0.5212716233958259
79,2011-12-12,2011,600058.SH,1,2011-12-13,2012-01-04,1.514978932918106
80,2011-12-12,2011,600010.SH,1,2011-12-13,2012-01-04,1.2703344650236517
81,2011-12-12,2011,600068.SH,1,2011-12-13,2012-01-04,1.2625413496538251
82,2011-12-12,2011,601299.SH,1,2011-12-13,2012-01-04,0.9536296715545348
83,2011-12-12,2011,601688.SH,0,2011-12-13,2012-01-04,1.4011359604597542
84,2011-12-12,2011,601919.SH,0,2011-12-13,2012-01-04,1.6345947580211049
85,2011-12-12,2011,601390.SH,0,2011-12-13,2012-01-04,1.0320368650427372
86,2011-12-12,2011,601939.SH,0,2011-12-13,2012-01-04,0.4219148213745119
87,2012-06-11,2012,601901.SH,1,2012-06-12,2012-07-02,1.5936621548448853
88,2012-06-11,2012,600887.SH,1,2012-06-12,2012-07-02,0.5189085204460003
89,2012-06-11,2012,601669.SH,1,2012-06-12,2012-07-02,1.060922552419676
90,2012-06-11,2012,600256.SH,1,2012-06-12,2012-07-02,1.1119933372770017
91,2012-06-11,2012,600089.SH,0,2012-06-12,2012-07-02,1.511887035847857
92,2012-06-11,2012,601168.SH,0,2012-06-12,2012-07-02,1.3935688449309866
93,2012-06-11,2012,600383.SH,0,2012-06-12,2012-07-02,0.912471769947686
94,2012-06-11,2012,601111.SH,0,2012-06-12,2012-07-02,1.0233177960475324
95,2012-12-17,2012,600123.SH,1,2012-12-18,2013-01-04,1.0436089002321496
96,2012-12-17,2012,600549.SH,1,2012-12-18,2013-01-04,1.0184154823062073
97,2012-12-17,2012,601688.SH,1,2012-12-18,2013-01-04,1.3695080574058571
98,2012-12-17,2012,601800.SH,1,2012-12-18,2013-01-04,0.6363089422692496
99,2012-12-17,2012,601336.SH,1,2012-12-18,2013-01-04,1.5349829310948484
100,2012-12-17,2012,600068.SH,0,2012-12-18,2013-01-04,0.6622092174147768
101,2012-12-17,2012,601118.SH,0,2012-12-18,2013-01-04,1.104924251105688
102,2012-12-17,2012,601958.SH,0,2012-12-18,2013-01-04,0.9051255215085178
103,2012-12-17,2012,601600.SH,0,2012-12-18,2013-01-04,0.5386266673110909
104,2012-12-17,2012,600900.SH,0,2012-12-18,2013-01-04,0.3665056057935542
105,2013-06-17,2013,600383.SH,1,2013-06-18,2013-07-01,1.2181953638856369
106,2013-06-17,2013,601788.SH,1,2013-06-18,2013-07-01,1.3061098454749984
107,2013-06-17,2013,600518.SH,1,2013-06-18,2013-07-01,0.3065160663404453
108,2013-06-17,2013,600999.SH,1,2013-06-18,2013-07-01,1.2339025114345097
109,2013-06-17,2013,600058.SH,0,2013-06-18,2013-07-01,0.9305890390166596
110,2013-06-17,2013,600188.SH,0,2013-06-18,2013-07-01,1.3623644502594323
111,2013-06-17,2013,601898.SH,0,2013-06-18,2013-07-01,0.7802218114475589
112,2013-06-17,2013,601800.SH,0,2013-06-18,2013-07-01,0.7543709699166716
113,2013-12-02,2013,600406.SH,1,2013-12-03,2013-12-16,0.8331498284959821
114,2013-12-02,2013,600332.SH,1,2013-12-03,2013-12-16,0.8602707403266802
115,2013-12-02,2013,601117.SH,1,2013-12-03,2013-12-16,1.1405722752951686
116,2013-12-02,2013,600637.SH,1,2013-12-03,2013-12-16,0.7853307734847254
117,2013-12-02,2013,600018.SH,1,2013-12-03,2013-12-16,0.8630425350969648
118,2013-12-02,2013,600123.SH,0,2013-12-03,2013-12-16,1.1011084623785714
119,2013-12-02,2013,600348.SH,0,2013-12-03,2013-12-16,1.556603137524518
120,2013-12-02,2013,601788.SH,0,2013-12-03,2013-12-16,0.9599026932829848
121,2013-12-02,2013,601669.SH,0,2013-12-03,2013-12-16,0.9923113027037898
122,2013-12-02,2013,600019.SH,0,2013-12-03,2013-12-16,0.7643430951031216
123,2014-06-03,2014,601118.SH,1,2014-06-04,2014-06-16,0.4651713356460423
124,2014-06-03,2014,600089.SH,1,2014-06-04,2014-06-16,0.7738861851953263
125,2014-06-03,2014,600703.SH,1,2014-06-04,2014-06-16,0.1480286450360601
126,2014-06-03,2014,600196.SH,1,2014-06-04,2014-06-16,0.791891172545251
127,2014-06-03,2014,600549.SH,0,2014-06-04,2014-06-16,1.3128379261634544
128,2014-06-03,2014,601699.SH,0,2014-06-04,2014-06-16,1.196367730029274
129,2014-06-03,2014,600489.SH,0,2014-06-04,2014-06-16,0.5597646956418271
130,2014-06-03,2014,600362.SH,0,2014-06-04,2014-06-16,1.0071549153180737
131,2014-06-03,2014,601899.SH,0,2014-06-04,2014-06-16,0.5865551441438784
132,2014-12-01,2014,600109.SH,1,2014-12-02,2014-12-15,1.2546625332791603
133,2014-12-01,2014,600372.SH,1,2014-12-02,2014-12-15,0.4054276694239134
134,2014-12-01,2014,600150.SH,1,2014-12-02,2014-12-15,0.5568438216426502
135,2014-12-01,2014,600690.SH,1,2014-12-02,2014-12-15,0.403065133485975
136,2014-12-01,2014,601998.SH,1,2014-12-02,2014-12-15,1.1134155649450674
137,2014-12-01,2014,600547.SH,0,2014-12-02,2014-12-15,0.378685340279316
138,2014-12-01,2014,600383.SH,0,2014-12-02,2014-12-15,0.9127403872151632
139,2014-12-01,2014,601117.SH,0,2014-12-02,2014-12-15,0.7336157427816863
140,2014-12-01,2014,600031.SH,0,2014-12-02,2014-12-15,0.8993028121404772
141,2014-12-01,2014,601336.SH,0,2014-12-02,2014-12-15,1.1151351117224404
142,2015-05-14,2015,600583.SH,1,2015-05-15,2015-05-21,1.3072957033451336
143,2015-05-14,2015,600893.SH,1,2015-05-15,2015-05-21,1.585282216481725
144,2015-06-01,2015,600958.SH,1,2015-06-02,2015-06-15,1.281676497281686
145,2015-06-01,2015,601186.SH,1,2015-06-02,2015-06-15,1.1175936086088127
146,2015-06-01,2015,601800.SH,1,2015-06-02,2015-06-15,0.9676297746413316
147,2015-06-01,2015,601390.SH,1,2015-06-02,2015-06-15,1.112309526442846
148,2015-06-01,2015,601988.SH,1,2015-06-02,2015-06-15,0.6255301652473929
149,2015-06-01,2015,601118.SH,0,2015-06-02,2015-06-15,1.1872444245692002
150,2015-06-01,2015,600332.SH,0,2015-06-02,2015-06-15,1.2944851341866528
151,2015-06-01,2015,600196.SH,0,2015-06-02,2015-06-15,1.1635437894459637
152,2015-06-01,2015,600372.SH,0,2015-06-02,2015-06-15,1.6252076520305774
153,2015-11-30,2015,600795.SH,1,2015-12-01,2015-12-14,1.0406098258320997
154,2015-11-30,2015,601669.SH,1,2015-12-01,2015-12-14,1.5600804707716416
155,2015-11-30,2015,601985.SH,1,2015-12-01,2015-12-14,1.1997189071409706
156,2015-11-30,2015,601336.SH,1,2015-12-01,2015-12-14,1.746154031547925
157,2015-11-30,2015,601211.SH,1,2015-12-01,2015-12-14,1.4060467290333194
158,2015-11-30,2015,600256.SH,0,2015-12-01,2015-12-14,1.3840544530616277
159,2015-11-30,2015,600406.SH,0,2015-12-01,2015-12-14,1.4173610207460834
160,2015-11-30,2015,600089.SH,0,2015-12-01,2015-12-14,1.2860672770920558
161,2015-11-30,2015,600583.SH,0,2015-12-01,2015-12-14,1.393517222317812
162,2016-05-30,2016,601377.SH,1,2016-05-31,2016-06-13,1.6764729943453442
163,2016-05-30,2016,601919.SH,1,2016-05-31,2016-06-13,0.992818986880294
164,2016-05-30,2016,601788.SH,1,2016-05-31,2016-06-13,1.931134987229029
165,2016-05-30,2016,600029.SH,1,2016-05-31,2016-06-13,1.771365693103043
166,2016-05-30,2016,601727.SH,1,2016-05-31,2016-06-13,0.6707843349009484
167,2016-05-30,2016,600150.SH,0,2016-05-31,2016-06-13,1.414717962186914
168,2016-05-30,2016,601901.SH,0,2016-05-31,2016-06-13,1.733833098764536
169,2016-05-30,2016,600585.SH,0,2016-05-31,2016-06-13,1.290270978070356
170,2016-05-30,2016,600015.SH,0,2016-05-31,2016-06-13,0.8065817098276519
171,2016-05-30,2016,600018.SH,0,2016-05-31,2016-06-13,0.650053117291851
172,2016-11-28,2016,600100.SH,1,2016-11-29,2016-12-12,1.0227716679707726
173,2016-11-28,2016,600485.SH,1,2016-11-29,2016-12-12,-0.5808956971171949
174,2016-11-28,2016,601198.SH,1,2016-11-29,2016-12-12,1.094531979290928
175,2016-11-28,2016,601901.SH,1,2016-11-29,2016-12-12,1.234013514990449
176,2016-11-28,2016,600547.SH,1,2016-11-29,2016-12-12,0.3675623361833364
177,2016-11-28,2016,601919.SH,0,2016-11-29,2016-12-12,1.4923717070402738
178,2016-11-28,2016,600795.SH,0,2016-11-29,2016-12-12,0.6778595679066954
179,2016-11-28,2016,600010.SH,0,2016-11-29,2016-12-12,0.9382264850275064
180,2016-11-28,2016,601669.SH,0,2016-11-29,2016-12-12,1.6263624761999702
181,2017-05-31,2017,600606.SH,1,2017-06-01,2017-06-12,0.7589810073260088
182,2017-05-31,2017,600340.SH,1,2017-06-01,2017-06-12,0.5946643449330016
183,2017-05-31,2017,600919.SH,1,2017-06-01,2017-06-12,0.5541207932997129
184,2017-05-31,2017,601881.SH,1,2017-06-01,2017-06-12,1.463079229139688
185,2017-05-31,2017,601229.SH,1,2017-06-01,2017-06-12,0.2360407500934643
186,2017-05-31,2017,600109.SH,0,2017-06-01,2017-06-12,0.7625526700132594
187,2017-05-31,2017,601377.SH,0,2017-06-06,2017-06-12,0.9773491297279296
188,2017-05-31,2017,600893.SH,0,2017-06-01,2017-06-12,0.2496774185587989
189,2017-05-31,2017,600637.SH,0,2017-06-01,2017-06-12,0.1780906592501756
190,2017-05-31,2017,601998.SH,0,2017-06-01,2017-06-12,0.9649196689862852
191,2017-11-27,2017,601878.SH,1,2017-11-28,2017-12-11,0.6393399107382757
192,2017-11-27,2017,600309.SH,1,2017-11-28,2017-12-04,0.6661063999313372
193,2017-11-27,2017,601669.SH,1,2017-11-28,2017-12-11,0.2866987476093997
194,2017-11-27,2017,603993.SH,1,2017-11-28,2017-12-11,1.2216589985376891
195,2017-11-27,2017,600019.SH,1,2017-11-28,2017-12-11,1.2006927903300246
196,2017-11-27,2017,600100.SH,0,2017-11-28,2017-12-11,0.1388768739281405
197,2017-11-27,2017,601198.SH,0,2017-11-28,2017-12-11,0.5148915016063121
198,2017-11-27,2017,601901.SH,0,2017-11-28,2017-12-11,0.3919905702731379
199,2017-11-27,2017,601788.SH,0,2017-11-28,2017-12-11,0.5292761743857928
